Year,Team,Teams (in effect),Starting Rating,Final Rating,Prize Money,Win World Cup (Starting Elo),Make Final (Starting Elo),Make Semifinals (Starting Elo),Make Quarterfinals (Starting Elo),Make Round of 16 (Starting Elo),Average Prize Money (Starting Elo),Win World Cup (Final Elo),Make Final (Final Elo),Make Semifinals (Final Elo),Make Quarterfinals (Final Elo),Make Round of 16 (Final Elo),Average Prize Money (Final Elo),Adjusted Win World Cup (Starting Elo),Adjusted Make Final (Starting Elo),Adjusted Make Semifinals (Starting Elo),Adjusted Make Quarterfinals (Starting Elo),Adjusted Make Round of 16 (Starting Elo),Adjusted Win World Cup (Final Elo),Adjusted Make Final (Final Elo),Adjusted Make Semifinals (Final Elo),Adjusted Make Quarterfinals (Final Elo),Adjusted Make Round of 16 (Final Elo),Tournament Performance Rating (Starting Elo),Tournament Performance Rating (Final Elo)
1930,Mexico,16,1613,1497,13,0.0012,0.0089,0.0262,0.6505,1.0,15.8995,0.0,0.001,0.0061,0.3309,1.0,14.3848,0.0006,0.00445,0.0131,0.32525,0.5,0.0,0.0005,0.00305,0.16545,0.5,0.587375,0.6672750000000001
1930,Peru,12,1542,1496,13,0.0002,0.0028,0.0242,0.3014,1.0,14.4348,0.0,0.0008,0.0073,0.1857,1.0,13.8098,7.500000000000001e-05,0.00105,0.009075,0.113025,0.375,0.0,0.00030000000000000003,0.0027375,0.0696375,0.375,0.7559875,0.77768125
1930,Bolivia,12,1258,1244,13,0.0,0.0,0.0037,0.0628,1.0,13.2832,0.0,0.0,0.0038,0.0452,1.0,13.2128,0.0,0.0,0.0013875,0.023549999999999998,0.375,0.0,0.0,0.001425,0.01695,0.375,0.800725,0.804025
1934,Italy,16,2073,2146,42,0.2478,0.3916,0.6455,0.8897,1.0,27.082,0.4648,0.5862,0.7526,0.936,1.0,31.5584,0.1239,0.1958,0.32275,0.44485,0.5,0.2324,0.2931,0.3763,0.468,0.5,0.93805,0.8838
1934,Argentina,16,2065,2013,13,0.3785,0.6964,0.809,0.9128,1.0,31.282,0.2079,0.5047,0.6771,0.8641,1.0,27.0851,0.18925,0.3482,0.4045,0.4564,0.5,0.10395,0.25235,0.33855,0.43205,0.5,0.5218,0.533975
1934,Austria,16,2048,1993,25,0.2542,0.4345,0.8098,0.9511,1.0,29.1271,0.1489,0.2572,0.7273,0.9341,1.0,26.2808,0.1271,0.21725,0.4049,0.47555,0.5,0.07445,0.1286,0.36365,0.46705,0.5,0.688925,0.7538750000000001
1934,Spain,16,1935,1968,17,0.0265,0.0631,0.1617,0.5007,1.0,17.0685,0.0476,0.0921,0.1784,0.6799,1.0,18.2975,0.01325,0.03155,0.08085,0.25035,0.5,0.0238,0.04605,0.0892,0.33995,0.5,0.8344,0.785425
1934,Czech Republic,16,1846,1902,30,0.0332,0.166,0.6215,0.8149,1.0,22.7216,0.0789,0.3046,0.7419,0.8751,1.0,25.2488,0.0166,0.083,0.31075,0.40745,0.5,0.03945,0.1523,0.37095,0.43755,0.5,0.9502,0.9041250000000001
1934,Brazil,16,1939,1863,13,0.0295,0.0687,0.1671,0.4993,1.0,17.1657,0.0059,0.0176,0.054,0.3201,1.0,14.9126,0.01475,0.03435,0.08355,0.24965,0.5,0.00295,0.0088,0.027,0.16005,0.5,0.625175,0.669975
1934,Germany,16,1799,1853,27,0.0134,0.0791,0.148,0.8597,1.0,18.2109,0.0259,0.1371,0.2686,0.9062,1.0,19.8517,0.0067,0.03955,0.074,0.42985,0.5,0.01295,0.06855,0.1343,0.4531,0.5,0.943225,0.898575
1934,Hungary,16,1827,1843,17,0.0089,0.0322,0.1394,0.6859,1.0,17.2426,0.0138,0.04,0.2261,0.752,1.0,18.368,0.00445,0.0161,0.0697,0.34295,0.5,0.0069,0.02,0.11305,0.376,0.5,0.793675,0.755475
1934,United States,16,1779,1759,13,0.0012,0.0046,0.0257,0.1103,1.0,13.7058,0.001,0.004,0.015,0.064,1.0,13.4176,0.0006,0.0023,0.01285,0.05515,0.5,0.0005,0.002,0.0075,0.032,0.5,0.722425,0.734
1934,Sweden,16,1730,1755,17,0.0022,0.0154,0.0377,0.0872,1.0,13.7574,0.0021,0.0191,0.0492,0.1359,1.0,14.0717,0.0011,0.0077,0.01885,0.0436,0.5,0.00105,0.00955,0.0246,0.06795,0.5,0.968775,0.953725
1934,Egypt,16,1715,1684,13,0.0009,0.0044,0.0396,0.3141,1.0,14.629,0.0006,0.0019,0.0325,0.248,1.0,14.2851,0.00045,0.0022,0.0198,0.15705,0.5,0.0003,0.00095,0.01625,0.124,0.5,0.671475,0.688
1934,Netherlands,16,1706,1668,13,0.0025,0.0292,0.224,0.6599,1.0,17.666,0.001,0.0175,0.1195,0.5592,1.0,16.3173,0.00125,0.0146,0.112,0.32995,0.5,0.0005,0.00875,0.05975,0.2796,0.5,0.585025,0.6102
1934,Switzerland,16,1614,1638,17,0.0003,0.0059,0.0729,0.3401,1.0,14.9863,0.0008,0.0102,0.0837,0.4408,1.0,15.5116,0.00015,0.00295,0.03645,0.17005,0.5,0.0004,0.0051,0.04185,0.2204,0.5,0.8967499999999999,0.8688750000000001
1934,Romania,16,1637,1623,13,0.0009,0.0077,0.0816,0.1851,1.0,14.4555,0.0006,0.0057,0.0549,0.1249,1.0,13.9837,0.00045,0.00385,0.0408,0.09255,0.5,0.0003,0.00285,0.02745,0.06245,0.5,0.7037249999999999,0.7187749999999999
1934,France,16,1622,1617,13,0.0,0.0009,0.0112,0.0489,1.0,13.2935,0.0001,0.001,0.0141,0.0659,1.0,13.3866,0.0,0.00045,0.0056,0.02445,0.5,5e-05,0.0005,0.00705,0.03295,0.5,0.7377750000000001,0.733525
1934,Belgium,16,1549,1529,13,0.0,0.0003,0.0053,0.1403,1.0,13.6061,0.0001,0.0011,0.0051,0.0938,1.0,13.4235,0.0,0.00015,0.00265,0.07015,0.5,5e-05,0.00055,0.00255,0.0469,0.5,0.714925,0.72655
1938,Italy,16,2050,2121,42,0.5264,0.6843,0.8697,0.9069,1.0,33.6687,0.6104,0.7432,0.8903,0.9396,1.0,35.199,0.2632,0.34215,0.43485,0.45345,0.5,0.3052,0.3716,0.44515,0.4698,0.5,0.8684000000000001,0.8473999999999999
1938,Hungary,16,1929,1949,30,0.2435,0.6137,0.6899,0.9615,1.0,28.4483,0.2337,0.7131,0.7883,0.9669,1.0,29.6301,0.12175,0.30685,0.34495,0.48075,0.5,0.11685,0.35655,0.39415,0.48345,0.5,0.7857000000000001,0.7633
1938,Brazil,16,1908,1936,27,0.1225,0.2122,0.6227,0.872,1.0,24.6878,0.1027,0.1778,0.6714,0.9048,1.0,24.9622,0.06125,0.1061,0.31135,0.436,0.5,0.05135,0.0889,0.3357,0.4524,0.5,0.791275,0.7877000000000001
1938,Czech Republic,16,1804,1823,17,0.0215,0.054,0.2574,0.6622,1.0,18.5322,0.0172,0.0435,0.26,0.7428,1.0,18.7979,0.01075,0.027,0.1287,0.3311,0.5,0.0086,0.02175,0.13,0.3714,0.5,0.7701,0.7493
1938,Germany,16,1829,1754,13,0.0556,0.2138,0.2657,0.7504,1.0,19.9082,0.0107,0.0883,0.1269,0.557,1.0,16.8327,0.0278,0.1069,0.13285,0.3752,0.5,0.00535,0.04415,0.06345,0.2785,0.5,0.5624,0.61075
1938,France,16,1628,1740,17,0.0016,0.008,0.0439,0.6182,1.0,15.9182,0.0065,0.023,0.0729,0.7947,1.0,17.0192,0.0008,0.004,0.02195,0.3091,0.5,0.00325,0.0115,0.03645,0.39735,0.5,0.834475,0.7831
1938,Norway,16,1730,1727,13,0.0074,0.0213,0.0666,0.0931,1.0,14.1547,0.0022,0.0081,0.0309,0.0604,1.0,13.5843,0.0037,0.01065,0.0333,0.04655,0.5,0.0011,0.00405,0.01545,0.0302,0.5,0.7267250000000001,0.7349
1938,Switzerland,16,1669,1722,17,0.0025,0.0216,0.0399,0.2496,1.0,14.4642,0.0047,0.0538,0.0816,0.443,1.0,15.7634,0.00125,0.0108,0.01995,0.1248,0.5,0.00235,0.0269,0.0408,0.2215,0.5,0.927625,0.86885
1938,Netherlands,16,1705,1667,13,0.0043,0.0148,0.0844,0.3378,1.0,15.2394,0.0008,0.0028,0.044,0.2572,1.0,14.448,0.00215,0.0074,0.0422,0.1689,0.5,0.0004,0.0014,0.022,0.1286,0.5,0.66555,0.6857
1938,Sweden,8,1650,1662,25,0.0124,0.1169,0.6729,1.0,1.0,23.3481,0.0097,0.1235,0.7294,1.0,1.0,23.7971,0.0031,0.029225,0.168225,0.25,0.25,0.002425,0.030875,0.18235,0.25,0.25,0.901275,0.8933875
1938,Poland,16,1630,1620,13,0.0008,0.0034,0.0355,0.128,1.0,13.8534,0.0002,0.0013,0.0246,0.0952,1.0,13.6059,0.0004,0.0017,0.01775,0.064,0.5,0.0001,0.00065,0.0123,0.0476,0.5,0.718,0.7262
1938,Belgium,16,1566,1541,13,0.0001,0.002,0.0198,0.3818,1.0,14.7076,0.0001,0.0003,0.0059,0.2053,1.0,13.8749,5e-05,0.001,0.0099,0.1909,0.5,5e-05,0.00015,0.00295,0.10265,0.5,0.65455,0.6986749999999999
1938,Romania,16,1555,1523,13,0.0006,0.0183,0.182,0.5297,1.0,16.7139,0.0006,0.0102,0.1391,0.513,1.0,16.2452,0.0003,0.00915,0.091,0.26485,0.5,0.0003,0.0051,0.06955,0.2565,0.5,0.617575,0.62175
1938,Cuba,16,1542,1517,17,0.0007,0.0146,0.1451,0.4703,1.0,16.158,0.0004,0.0101,0.1315,0.487,1.0,16.0755,0.00035,0.0073,0.07255,0.23515,0.5,0.0002,0.00505,0.06575,0.2435,0.5,0.84615,0.845375
1938,Indonesia,16,1470,1462,13,0.0001,0.0011,0.0045,0.0385,1.0,13.1973,0.0001,0.001,0.0032,0.0331,1.0,13.1646,5e-05,0.00055,0.00225,0.01925,0.5,5e-05,0.0005,0.0016,0.01655,0.5,0.740375,0.741725
1950,Brazil,16,2070,2114,30,0.3743,0.6254,0.7895,0.985,1.0,31.1502,0.5313,0.7141,0.8315,0.9931,1.0,33.7421,0.18715,0.3127,0.39475,0.4925,0.5,0.26565,0.35705,0.41575,0.49655,0.5,0.750075,0.68865
1950,Italy,12,1966,1976,17,0.0872,0.2136,0.3884,0.6867,1.0,21.2404,0.0995,0.2477,0.4598,0.7445,1.0,22.3511,0.0327,0.0801,0.14565,0.2575125,0.375,0.0373125,0.0928875,0.172425,0.27918750000000003,0.375,0.79841875,0.77419375
1950,England,16,2063,1974,17,0.3385,0.5909,0.7569,0.9958,1.0,30.3353,0.1555,0.3625,0.6704,0.9849,1.0,26.3525,0.16925,0.29545,0.37845,0.4979,0.5,0.07775,0.18125,0.3352,0.49245,0.5,0.561825,0.586175
1950,Sweden,12,1974,1950,27,0.1016,0.243,0.43,0.7169,1.0,22.0394,0.0746,0.1943,0.3913,0.685,1.0,20.9725,0.038099999999999995,0.091125,0.16125,0.2688375,0.375,0.027975,0.0728625,0.1467375,0.256875,0.375,0.8738125,0.8902
1950,Uruguay,8,1739,1874,42,0.0156,0.0797,0.8815,0.8824,1.0,24.5361,0.0782,0.2768,0.962,0.9622,1.0,27.431,0.0039,0.019925,0.220375,0.2206,0.25,0.01955,0.0692,0.2405,0.24055,0.25,0.99805,0.990225
1950,Serbia,16,1816,1872,17,0.0067,0.0312,0.0927,0.6875,1.0,16.7986,0.0203,0.0486,0.1232,0.8056,1.0,17.77,0.00335,0.0156,0.04635,0.34375,0.5,0.01015,0.0243,0.0616,0.4028,0.5,0.80495,0.7678
1950,Spain,16,1898,1868,25,0.0456,0.1109,0.233,0.9474,1.0,19.9281,0.0275,0.1003,0.295,0.9338,1.0,20.1127,0.0228,0.05545,0.1165,0.4737,0.5,0.01375,0.05015,0.1475,0.4669,0.5,0.914025,0.9011750000000001
1950,Paraguay,12,1877,1848,13,0.0225,0.0717,0.1816,0.4284,1.0,16.9469,0.0113,0.0475,0.1489,0.3884,1.0,16.2149,0.0084375,0.0268875,0.06810000000000001,0.16065000000000002,0.375,0.0042375,0.017812500000000002,0.0558375,0.14565,0.375,0.732175,0.739675
1950,Switzerland,16,1708,1731,17,0.0007,0.0038,0.0248,0.3523,1.0,14.655,0.0012,0.003,0.0237,0.4248,1.0,14.9306,0.00035,0.0019,0.0124,0.17615,0.5,0.0006,0.0015,0.01185,0.2124,0.5,0.905725,0.887875
1950,Mexico,16,1817,1717,13,0.0072,0.0286,0.093,0.6952,1.0,16.8288,0.0005,0.0033,0.0216,0.3834,1.0,14.7405,0.0036,0.0143,0.0465,0.3476,0.5,0.00025,0.00165,0.0108,0.1917,0.5,0.5762,0.65415
1950,Chile,16,1600,1638,13,0.0001,0.0005,0.0057,0.2807,1.0,14.1747,0.0001,0.0015,0.0271,0.4316,1.0,14.9613,5e-05,0.00025,0.00285,0.14035,0.5,5e-05,0.00075,0.01355,0.2158,0.5,0.679825,0.6421
1950,United States,16,1568,1556,13,0.0,0.0003,0.0044,0.2199,1.0,13.9191,0.0,0.0002,0.0075,0.2225,1.0,13.9518,0.0,0.00015,0.0022,0.10995,0.5,0.0,0.0001,0.00375,0.11125,0.5,0.695025,0.694375
1950,Bolivia,8,1446,1424,13,0.0,0.0004,0.1185,0.1218,1.0,14.4474,0.0,0.0002,0.038,0.0402,1.0,13.469,0.0,0.0001,0.029625,0.03045,0.25,0.0,5e-05,0.0095,0.01005,0.25,0.859775,0.8699749999999999
1954,Hungary,16,2144,2188,30,0.4506,0.5712,0.7018,0.8659,1.0,30.5678,0.4644,0.6039,0.6993,0.8109,1.0,30.5981,0.2253,0.2856,0.3509,0.43295,0.5,0.2322,0.30195,0.34965,0.40545,0.5,0.74455,0.732925
1954,Germany,16,1943,2095,42,0.0522,0.1559,0.2842,0.5143,1.0,18.8793,0.1971,0.3662,0.477,0.6149,1.0,23.6384,0.0261,0.07795,0.1421,0.25715,0.5,0.09855,0.1831,0.2385,0.30745,0.5,0.98695,0.950725
1954,Brazil,16,2030,2010,17,0.1578,0.3085,0.4529,0.7584,1.0,23.2975,0.0966,0.2361,0.3675,0.7647,1.0,21.5063,0.0789,0.15425,0.22645,0.3792,0.5,0.0483,0.11805,0.18375,0.38235,0.5,0.697175,0.71695
1954,England,16,2016,1969,17,0.1616,0.3144,0.6157,0.8187,1.0,25.1492,0.0602,0.1597,0.4403,0.75,1.0,21.3901,0.0808,0.1572,0.30785,0.40935,0.5,0.0301,0.07985,0.22015,0.375,0.5,0.6414,0.702425
1954,Austria,16,1864,1966,27,0.0204,0.0764,0.2374,0.5659,1.0,17.926,0.0736,0.2051,0.5179,0.7907,1.0,22.5811,0.0102,0.0382,0.1187,0.28295,0.5,0.0368,0.10255,0.25895,0.39535,0.5,0.92155,0.81925
1954,Uruguay,16,1878,1940,25,0.0256,0.0889,0.2618,0.5816,1.0,18.3333,0.0581,0.1638,0.4737,0.7652,1.0,21.6958,0.0128,0.04445,0.1309,0.2908,0.5,0.02905,0.0819,0.23685,0.3826,0.5,0.912325,0.840625
1954,Serbia,16,1931,1910,17,0.0452,0.128,0.2492,0.5284,1.0,18.4204,0.0221,0.0886,0.1788,0.4916,1.0,17.1888,0.0226,0.064,0.1246,0.2642,0.5,0.01105,0.0443,0.0894,0.2458,0.5,0.8056,0.8324
1954,Italy,16,1890,1826,13,0.0406,0.133,0.3704,0.676,1.0,20.0262,0.0103,0.0475,0.208,0.5662,1.0,17.4017,0.0203,0.0665,0.1852,0.338,0.5,0.00515,0.02375,0.104,0.2831,0.5,0.581,0.6084499999999999
1954,Switzerland,16,1772,1821,17,0.0037,0.0201,0.0875,0.2522,1.0,14.8915,0.0042,0.0282,0.1335,0.3808,1.0,15.8578,0.00185,0.01005,0.04375,0.1261,0.5,0.0021,0.0141,0.06675,0.1904,0.5,0.915075,0.871425
1954,Scotland,16,1893,1802,13,0.0272,0.0901,0.2497,0.5222,1.0,18.0057,0.0039,0.024,0.1092,0.2805,1.0,15.2168,0.0136,0.04505,0.12485,0.2611,0.5,0.00195,0.012,0.0546,0.14025,0.5,0.6194500000000001,0.679875
1954,France,16,1772,1779,13,0.0066,0.044,0.1448,0.4665,1.0,16.3752,0.0068,0.0412,0.1364,0.527,1.0,16.539,0.0033,0.022,0.0724,0.23325,0.5,0.0034,0.0206,0.0682,0.2635,0.5,0.633375,0.61825
1954,Belgium,16,1775,1749,13,0.0029,0.0225,0.093,0.2531,1.0,14.9453,0.0012,0.0125,0.078,0.303,1.0,14.9449,0.00145,0.01125,0.0465,0.12655,0.5,0.0006,0.00625,0.039,0.1515,0.5,0.686725,0.67425
1954,Czech Republic,16,1746,1685,13,0.0026,0.0162,0.0845,0.3303,1.0,15.1426,0.0003,0.0039,0.0394,0.1636,1.0,14.0055,0.0013,0.0081,0.04225,0.16515,0.5,0.00015,0.00195,0.0197,0.0818,0.5,0.6674249999999999,0.7091000000000001
1954,Turkey,16,1614,1657,13,0.0002,0.005,0.0403,0.2786,1.0,14.4726,0.0004,0.0104,0.0721,0.3661,1.0,15.1184,0.0001,0.0025,0.02015,0.1393,0.5,0.0002,0.0052,0.03605,0.18305,0.5,0.68035,0.658475
1954,Mexico,16,1694,1655,13,0.0013,0.0117,0.0586,0.2467,1.0,14.5467,0.0007,0.0062,0.0392,0.2167,1.0,14.2278,0.00065,0.00585,0.0293,0.12335,0.5,0.00035,0.0031,0.0196,0.10835,0.5,0.6883250000000001,0.695825
1954,South Korea,16,1677,1587,13,0.0015,0.0141,0.0682,0.3412,1.0,15.0207,0.0001,0.0027,0.0297,0.2081,1.0,14.0895,0.00075,0.00705,0.0341,0.1706,0.5,5e-05,0.00135,0.01485,0.10405,0.5,0.6647000000000001,0.697975
1958,Brazil,16,1976,2140,42,0.0853,0.1762,0.3147,0.5871,1.0,19.9174,0.4073,0.5075,0.6575,0.882,1.0,29.4483,0.04265,0.0881,0.15735,0.29355,0.5,0.20365,0.25375,0.32875,0.441,0.5,0.978675,0.898175
1958,Sweden,16,1901,1998,30,0.0397,0.1258,0.2625,0.6321,1.0,18.8596,0.1272,0.2516,0.394,0.7931,1.0,22.2772,0.01985,0.0629,0.13125,0.31605,0.5,0.0636,0.1258,0.197,0.39655,0.5,0.9586250000000001,0.9053
1958,Hungary,16,2079,1985,13,0.2926,0.4098,0.6004,0.9095,1.0,27.2728,0.1079,0.235,0.37,0.7722,1.0,21.6732,0.1463,0.2049,0.3002,0.45475,0.5,0.05395,0.1175,0.185,0.3861,0.5,0.522625,0.5569500000000001
1958,France,16,1837,1951,27,0.0173,0.0626,0.1876,0.5273,1.0,17.2236,0.0851,0.1869,0.4665,0.7689,1.0,22.0859,0.00865,0.0313,0.0938,0.26365,0.5,0.04255,0.09345,0.23325,0.38445,0.5,0.93745,0.83665
1958,England,16,2010,1951,13,0.1258,0.239,0.394,0.6673,1.0,21.7134,0.0596,0.1465,0.2546,0.5129,1.0,18.6485,0.0629,0.1195,0.197,0.33365,0.5,0.0298,0.07325,0.1273,0.25645,0.5,0.583175,0.621775
1958,Argentina,16,2043,1920,13,0.2268,0.3457,0.6107,0.8228,1.0,25.9799,0.0551,0.1433,0.3553,0.638,1.0,19.9803,0.1134,0.17285,0.30535,0.4114,0.5,0.02755,0.07165,0.17765,0.319,0.5,0.5443,0.5905
1958,Czech Republic,16,1889,1897,13,0.0309,0.0985,0.26,0.4688,1.0,17.9575,0.0375,0.1092,0.2945,0.5696,1.0,18.8018,0.01545,0.04925,0.13,0.2344,0.5,0.01875,0.0546,0.14725,0.2848,0.5,0.6328,0.6076
1958,Russia,16,1886,1896,17,0.0226,0.066,0.144,0.3411,1.0,16.1856,0.0257,0.0804,0.1535,0.3718,1.0,16.493,0.0113,0.033,0.072,0.17055,0.5,0.01285,0.0402,0.07675,0.1859,0.5,0.878725,0.868675
1958,Serbia,16,1908,1888,17,0.053,0.1345,0.3171,0.6962,1.0,19.8077,0.0371,0.1108,0.3163,0.6257,1.0,19.2188,0.0265,0.06725,0.15855,0.3481,0.5,0.01855,0.0554,0.15815,0.31285,0.5,0.746675,0.7645
1958,Germany,16,1922,1878,25,0.0529,0.1429,0.3353,0.5648,1.0,19.4635,0.0287,0.0904,0.2688,0.5338,1.0,18.2406,0.02645,0.07145,0.16765,0.2824,0.5,0.01435,0.0452,0.1344,0.2669,0.5,0.88045,0.9102
1958,Austria,16,1904,1835,13,0.0291,0.0797,0.1726,0.4045,1.0,16.8369,0.0091,0.0353,0.0796,0.2333,1.0,14.8879,0.01455,0.03985,0.0863,0.20225,0.5,0.00455,0.01765,0.0398,0.11665,0.5,0.648875,0.691675
1958,Wales,16,1713,1792,17,0.0014,0.0104,0.0348,0.1758,1.0,14.0614,0.0054,0.0251,0.0635,0.2765,1.0,14.8329,0.0007,0.0052,0.0174,0.0879,0.5,0.0027,0.01255,0.03175,0.13825,0.5,0.94735,0.915
1958,Northern Ireland,16,1732,1769,17,0.0018,0.012,0.0504,0.1436,1.0,14.0782,0.004,0.0202,0.092,0.2586,1.0,14.968,0.0009,0.006,0.0252,0.0718,0.5,0.002,0.0101,0.046,0.1293,0.5,0.9515,0.91235
1958,Scotland,16,1824,1766,13,0.0124,0.0505,0.1581,0.467,1.0,16.6151,0.0046,0.0263,0.103,0.3018,1.0,15.2615,0.0062,0.02525,0.07905,0.2335,0.5,0.0023,0.01315,0.0515,0.1509,0.5,0.63325,0.67455
1958,Paraguay,16,1751,1762,13,0.0039,0.0193,0.0808,0.3095,1.0,15.0635,0.0043,0.0231,0.1036,0.3036,1.0,15.2597,0.00195,0.00965,0.0404,0.15475,0.5,0.00215,0.01155,0.0518,0.1518,0.5,0.672625,0.6741
1958,Mexico,16,1772,1719,13,0.0045,0.0271,0.077,0.2826,1.0,14.9639,0.0014,0.0084,0.0273,0.1582,1.0,13.9224,0.00225,0.01355,0.0385,0.1413,0.5,0.0007,0.0042,0.01365,0.0791,0.5,0.67935,0.71045
1962,Brazil,16,2101,2193,42,0.291,0.4071,0.5956,0.8461,1.0,26.9423,0.4963,0.5844,0.7416,0.9269,1.0,31.764,0.1455,0.20355,0.2978,0.42305,0.5,0.24815,0.2922,0.3708,0.46345,0.5,0.92725,0.875925
1962,Russia,16,2038,2018,17,0.1973,0.3292,0.5949,0.8217,1.0,25.3964,0.1329,0.2581,0.5619,0.8632,1.0,24.2107,0.09865,0.1646,0.29745,0.41085,0.5,0.06645,0.12905,0.28095,0.4316,0.5,0.64585,0.643725
1962,Czech Republic,16,1976,1999,30,0.0723,0.1574,0.2935,0.5429,1.0,19.306,0.07,0.1932,0.3298,0.5641,1.0,19.8506,0.03615,0.0787,0.14675,0.27145,0.5,0.035,0.0966,0.1649,0.28205,0.5,0.9425749999999999,0.9342
1962,Hungary,16,1950,1962,17,0.0526,0.1263,0.2571,0.6183,1.0,18.9227,0.0545,0.1435,0.2687,0.6864,1.0,19.3949,0.0263,0.06315,0.12855,0.30915,0.5,0.02725,0.07175,0.13435,0.3432,0.5,0.78115,0.761225
1962,Argentina,16,1978,1941,13,0.085,0.1764,0.3295,0.7118,1.0,20.5494,0.0374,0.1145,0.2264,0.6337,1.0,18.4713,0.0425,0.0882,0.16475,0.3559,0.5,0.0187,0.05725,0.1132,0.31685,0.5,0.57205,0.591575
1962,Spain,16,1961,1934,13,0.0534,0.1306,0.2537,0.4822,1.0,18.3676,0.0253,0.0873,0.1752,0.3446,1.0,16.5957,0.0267,0.0653,0.12685,0.2411,0.5,0.01265,0.04365,0.0876,0.1723,0.5,0.6294500000000001,0.66385
1962,Chile,16,1839,1931,27,0.0145,0.0511,0.1665,0.5245,1.0,16.9433,0.0404,0.13,0.3501,0.7203,1.0,20.018,0.00725,0.02555,0.08325,0.26225,0.5,0.0202,0.065,0.17505,0.36015,0.5,0.9456,0.879975
1962,Serbia,16,1980,1930,25,0.1037,0.2253,0.4621,0.7013,1.0,22.1273,0.0452,0.1413,0.3608,0.6821,1.0,20.0649,0.05185,0.11265,0.23105,0.35065,0.5,0.0226,0.07065,0.1804,0.34105,0.5,0.8281499999999999,0.874475
