Team,World Cup Appearances,Total Prize Money,Expected Total Prize Money (Starting Elo),Expected Total Prize Money (Final Elo),World Cups Won,Final Appearances,SF Appearances,Expected World Cup Wins (Starting Elo),Expected Final Appearances (Starting Elo),Expected SF Appearances (Starting Elo),Expected World Cup Wins (Final Elo),Expected Final Appearances (Final Elo),Expected SF Appearances (Final Elo),Probability of Winning a World Cup (Starting Elo),Probability of Making a Final (Starting Elo),Probability of Making a Semifinal (Starting Elo),Probability of Winning a World Cup (Final Elo),Probability of Making a Final (Final Elo),Probability of Making a Semifinal (Final Elo),Average Tournament Performance Rating (Starting Elo),Average Tournament Performance Rating (Final Elo)
Japan,7,79.0,82.32029999999999,81.7165,0,0,0,0.074,0.1643,0.3985000000000001,0.0576,0.1345,0.35309999999999997,0.07354755688229753,0.15980722612559672,0.36117243543532984,0.05711606314712103,0.13028569065181883,0.3184028650546976,0.5546285714285714,0.5419214285714286
Morocco,6,78.0,66.03190000000001,69.2081,0,0,1,0.0026,0.020900000000000002,0.10719999999999999,0.0095,0.0377,0.1528,0.0025973214215868623,0.020725444223776424,0.10270170125982292,0.009473029578172865,0.0372129891108236,0.1444418343350372,0.6269812499999999,0.5993979166666666
Denmark,6,74.0,85.41,84.0953,0,0,0,0.1199,0.3184,0.7653,0.10880000000000001,0.2995,0.7172,0.11459212961284704,0.28160806955710405,0.5664447886594564,0.10460818844363184,0.26724066550216174,0.5409921817826087,0.5045854166666667,0.4997854166666666
Colombia,6,74.0,89.5058,89.74080000000001,0,0,0,0.1504,0.3438,0.7451000000000001,0.13269999999999998,0.344,0.8202,0.14403972231065454,0.30676330423594866,0.5714110986348029,0.12682614390201274,0.3044574434825671,0.6070134312944668,0.4921333333333333,0.47608333333333336
Costa Rica,6,66.0,62.07509999999999,63.545500000000004,0,0,0,0.0043,0.023100000000000002,0.095,0.0058000000000000005,0.029699999999999997,0.12359999999999999,0.0042941128683943175,0.022901253680846834,0.09175083698241682,0.005789207287956288,0.029396617650396917,0.11816127911840513,0.56076875,0.5559208333333334
Australia,6,66.0,65.46610000000001,65.6809,0,0,0,0.0091,0.0339,0.1325,0.005600000000000001,0.030100000000000002,0.1267,0.009074733563701476,0.03351308838682676,0.12658796195412125,0.00559017579891985,0.029799695570466245,0.1214765389640915,0.6017333333333333,0.5944166666666667
Nigeria,6,66.0,65.0235,66.1665,0,0,0,0.01,0.0375,0.1531,0.0118,0.0447,0.16760000000000003,0.009968473545894918,0.03701033795253983,0.14444215744097055,0.011769591930318013,0.044194380226195595,0.15919727063273048,0.5862875,0.5697770833333333
Peru,5,65.0,69.8853,67.9877,0,0,0,0.025800000000000003,0.0877,0.2799,0.0172,0.0789,0.24209999999999998,0.02568084250066216,0.0857488643394696,0.2557670163495376,0.017127015583667138,0.07701357336093162,0.22264432051706395,0.6154525,0.6346387499999999
Saudi Arabia,6,58.0,59.499700000000004,59.5311,0,0,0,0.0016,0.0103,0.0442,0.0022,0.009899999999999999,0.04970000000000001,0.0015997199999999712,0.010264524152008958,0.04351743474769443,0.002199090101999923,0.009877093253161662,0.049136389121829493,0.49839375,0.4982500000000001
Iran,6,58.0,69.27669999999999,66.7655,0,0,0,0.014299999999999998,0.0559,0.20850000000000002,0.0057,0.025300000000000003,0.1049,0.014240433507012762,0.05480537197294877,0.1925909711821906,0.0056912951857119864,0.025080891002893457,0.1008613399687871,0.4071041666666666,0.421475
Tunisia,6,58.0,62.89010000000001,63.1618,0,0,0,0.0016,0.008700000000000001,0.0467,0.0007,0.008799999999999999,0.04869999999999999,0.001599380079996604,0.00867905216553011,0.04598228274820826,0.0006998400119999637,0.00877137317647081,0.047793415864689326,0.47005416666666666,0.4643458333333334
Ghana,4,48.0,38.0899,39.9618,0,0,0,0.0008,0.0039,0.0248,0.0025,0.0138,0.0639,0.0007999300000000042,0.0038961003520000537,0.02464053289560386,0.002499120083999995,0.013753335198000038,0.06305372043872504,0.7176125,0.6823125
Algeria,4,44.0,38.9105,40.5546,0,0,0,0.00030000000000000003,0.0023,0.0184,0.0006,0.0056,0.0367,0.0002999799999999775,0.002298410396973871,0.018281641083641165,0.0006000000000000449,0.005593572351823672,0.036327599368985886,0.6805375,0.6415
Ireland,3,43.0,45.567099999999996,44.324,0,0,0,0.0818,0.2131,0.47740000000000005,0.0721,0.184,0.44039999999999996,0.07959647054800001,0.19837568728,0.4057928637220001,0.07064525468799998,0.17395856326000003,0.38210207082400005,0.6406458333333332,0.6599125
Turkey,2,40.0,26.424500000000002,30.278799999999997,0,0,1,0.0028,0.0149,0.08030000000000001,0.0256,0.069,0.2306,0.0027994800000000764,0.014850499999999989,0.07868800000000009,0.025589919999999933,0.06839055999999999,0.21917215,0.8277,0.7749625
Ecuador,4,40.0,46.4458,48.263,0,0,0,0.013999999999999999,0.056999999999999995,0.202,0.013,0.0674,0.208,0.013940186667932841,0.05602412203930007,0.1896094197804159,0.012942292357629892,0.06588291250099998,0.19329026313485886,0.43466250000000006,0.3829125
Senegal,3,39.0,30.8057,33.1228,0,0,0,0.0017000000000000001,0.0089,0.0404,0.0058,0.0232,0.0833,0.0016993400000000491,0.008878515399999953,0.03989419673600003,0.0057896558500000195,0.023026778607999954,0.08103959027199992,0.7319166666666668,0.6773000000000001
Northern Ireland,3,39.0,41.1189,39.785000000000004,0,0,0,0.0293,0.0813,0.2165,0.010499999999999999,0.045399999999999996,0.1775,0.029234389052000154,0.08024702872,0.20573416259200006,0.010465872640000096,0.044756139520000016,0.16812920791999997,0.6453291666666666,0.6419666666666667
Bolivia,3,35.0,39.2616,37.6402,0,0,0,0.0025,0.0098,0.15949999999999998,0.0004,0.004,0.0649,0.0024999999999999467,0.0097962399999999,0.1545198441850001,0.00039999999999995595,0.0039992399999999595,0.06379335564,0.6685416666666666,0.6814791666666666
Norway,3,35.0,42.4884,41.8458,0,0,0,0.0421,0.1192,0.3077,0.0365,0.1046,0.2571,0.04154462606800002,0.11477653740399996,0.27808697179999997,0.036131126932000046,0.10150914728600002,0.23771965276500007,0.5069208333333334,0.5091833333333333
Egypt,3,31.0,34.5135,33.7466,0,0,0,0.0012,0.0061,0.05070000000000001,0.0009,0.004,0.0428,0.0011997299999999544,0.006091803167999954,0.05023489335999998,0.0008998000119999627,0.003995331292000026,0.042449808700000036,0.49842500000000006,0.5215791666666666
Greece,3,31.0,35.2644,33.7795,0,0,0,0.007600000000000001,0.0308,0.1117,0.004,0.0205,0.0964,0.007583371264000105,0.030516368751999923,0.10766655437200001,0.003996440560000036,0.020409806980000056,0.09396181031999995,0.43011249999999995,0.4585791666666667
Honduras,3,27.0,29.3555,29.006099999999996,0,0,0,0.0003,0.0029,0.0173,0.0001,0.0019,0.008700000000000001,0.00029999999999996696,0.0028981000000000146,0.017216017687999963,9.999999999998899e-05,0.0018993700449999595,0.008678097100000004,0.42770833333333336,0.4368833333333333
Ivory Coast,3,27.0,32.1523,32.0966,0,0,0,0.0053,0.0195,0.0673,0.0033,0.019200000000000002,0.0717,0.00529197375099999,0.01937633771199998,0.06584055564000002,0.0032969808400000744,0.01907909080000003,0.07000014882399996,0.35828333333333334,0.3602999999999999
South Africa,3,27.0,29.7367,31.0338,0,0,0,0.0006000000000000001,0.0043,0.026,0.0018,0.008400000000000001,0.0495,0.000599919999999976,0.004295439999999928,0.025802196889999962,0.001799130070000099,0.008379851263999982,0.04878535146399998,0.4173,0.3831333333333333
North Korea,2,26.0,24.8487,24.4807,0,0,0,0.0117,0.040299999999999996,0.1231,0.0052,0.0245,0.1044,0.011700000000000044,0.040291980000000005,0.12297789999999997,0.005199999999999982,0.024499999999999966,0.10437915999999992,0.6846875,0.6899125
Wales,2,26.0,25.555300000000003,25.1069,0,0,0,0.0039,0.019299999999999998,0.0701,0.0056,0.0273,0.0745,0.0038964999999998584,0.019207439999999965,0.06887155999999994,0.005598919999999952,0.02724477999999997,0.07380149999999996,0.6251249999999999,0.648175
El Salvador,2,22.0,22.9202,22.7078,0,0,0,0.0,0.001,0.007699999999999999,0.0,0.0,0.0034000000000000002,0.0,0.0009999099999999927,0.007693880000000042,0.0,0.0,0.0033993599999999624,0.58943125,0.595975
Canada,2,18.0,20.0563,19.3504,0,0,0,0.001,0.0049,0.0196,0.0004,0.0018,0.011300000000000001,0.000999839999999974,0.00489509999999993,0.019509249999999922,0.000399959999999977,0.0017992800000000697,0.01126819999999995,0.41536249999999997,0.44428749999999995
New Zealand,2,18.0,18.733,18.977899999999998,0,0,0,0.0,0.0002,0.0015999999999999999,0.0001,0.0005,0.002,0.0,0.00019998999999992773,0.0015993700000000999,9.999999999998899e-05,0.0004999999999999449,0.0019998100000000463,0.46251875,0.44964999999999994
Slovenia,2,18.0,23.0726,21.512,0,0,0,0.0041,0.018,0.0795,0.0014,0.0074,0.038599999999999995,0.004098519999999994,0.01793924999999985,0.07811454000000007,0.0013995999999999453,0.007389199999999985,0.038306720000000016,0.3005,0.339075
East Germany,1,17.0,20.0295,18.7004,0,0,0,0.0357,0.1421,0.3592,0.021,0.1032,0.2656,0.035699999999999954,0.1421,0.35919999999999996,0.02100000000000002,0.10319999999999996,0.26560000000000006,0.73305,0.765325
Ukraine,1,17.0,13.2209,13.0937,0,0,0,0.0068,0.0235,0.0744,0.0038,0.0161,0.0541,0.006800000000000028,0.023499999999999965,0.07440000000000002,0.0038000000000000256,0.016100000000000003,0.05410000000000004,0.8432,0.8732
Cuba,1,17.0,16.158,16.0755,0,0,0,0.0007,0.0146,0.1451,0.0004,0.0101,0.1315,0.0007000000000000339,0.014599999999999946,0.1451,0.00039999999999995595,0.010099999999999998,0.13149999999999995,0.84615,0.845375
Haiti,1,13.0,13.1567,13.0834,0,0,0,0.0,0.0001,0.001,0.0,0.0,0.0003,0.0,9.999999999998899e-05,0.0010000000000000009,0.0,0.0,0.00029999999999996696,0.74075,0.74495
DR Congo,1,13.0,14.0356,13.4616,0,0,0,0.0006,0.0066,0.0338,0.0,0.001,0.0066,0.0006000000000000449,0.00660000000000005,0.03380000000000005,0.0,0.0010000000000000009,0.00660000000000005,0.705675,0.72485
Israel,1,13.0,13.6944,13.7508,0,0,0,0.0002,0.0046,0.0269,0.0004,0.004,0.031,0.00019999999999997797,0.0046000000000000485,0.026900000000000035,0.00039999999999995595,0.0040000000000000036,0.031000000000000028,0.722125,0.72085
Indonesia,1,13.0,13.1973,13.1646,0,0,0,0.0001,0.0011,0.0045,0.0001,0.001,0.0032,9.999999999998899e-05,0.0010999999999999899,0.0044999999999999485,9.999999999998899e-05,0.0010000000000000009,0.0031999999999999806,0.740375,0.741725
Slovakia,1,13.0,10.664,10.7534,0,0,0,0.0,0.0024,0.0101,0.0005,0.0022,0.009,0.0,0.0023999999999999577,0.010099999999999998,0.0004999999999999449,0.0021999999999999797,0.009000000000000008,0.8041,0.79225
UAE,1,9.0,9.18,9.1432,0,0,0,0.0,0.0,0.0005,0.0,0.0,0.0001,0.0,0.0,0.0004999999999999449,0.0,0.0,9.999999999998899e-05,0.4847,0.4877375
Togo,1,9.0,9.1968,9.1084,0,0,0,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0,0.0,0.00039999999999995595,0.0,0.0,0.00019999999999997797,0.4780999999999999,0.48775
Panama,1,9.0,9.7376,9.3745,0,0,0,0.0001,0.001,0.0059,0.0,0.0001,0.0023,9.999999999998899e-05,0.0010000000000000009,0.005900000000000016,0.0,9.999999999998899e-05,0.0022999999999999687,0.4327,0.4640999999999999
Iceland,1,9.0,11.1074,10.0841,0,0,0,0.0011,0.0062,0.0332,0.0004,0.0017,0.0086,0.0010999999999999899,0.006199999999999983,0.03320000000000001,0.00039999999999995595,0.0017000000000000348,0.008600000000000052,0.3291999999999999,0.3923999999999999
Bosnia and Herzegovina,1,9.0,12.4094,12.0659,0,0,0,0.0024,0.012,0.0599,0.002,0.0095,0.0324,0.0023999999999999577,0.01200000000000001,0.05989999999999995,0.0020000000000000018,0.009499999999999953,0.032399999999999984,0.2503999999999999,0.24795
China,1,9.0,10.8032,9.3327,0,0,0,0.0013,0.005,0.0198,0.0,0.0003,0.0019,0.0012999999999999678,0.0050000000000000044,0.01980000000000004,0.0,0.00029999999999996696,0.0019000000000000128,0.3461499999999999,0.46665
Trinidad and Tobago,1,9.0,9.274,9.2393,0,0,0,0.0001,0.0002,0.0009,0.0,0.0003,0.0014,9.999999999998899e-05,0.00019999999999997797,0.0009000000000000119,0.0,0.00029999999999996696,0.0013999999999999568,0.4711499999999999,0.47475
Angola,1,9.0,9.3077,9.5016,0,0,0,0.0,0.0003,0.0022,0.0,0.0002,0.002,0.0,0.00029999999999996696,0.0021999999999999797,0.0,0.00019999999999997797,0.0020000000000000018,0.46875,0.44655
Iraq,1,9.0,9.9935,9.7795,0,0,0,0.0006,0.0015,0.0069,0.0,0.0003,0.0029,0.0006000000000000449,0.0014999999999999458,0.006900000000000017,0.0,0.00029999999999996696,0.0029000000000000137,0.4278125,0.4389499999999999
Jamaica,1,9.0,9.6064,9.5652,0,0,0,0.0001,0.0008,0.0041,0.0001,0.0004,0.0043,9.999999999998899e-05,0.0008000000000000229,0.0040999999999999925,9.999999999998899e-05,0.00039999999999995595,0.0042999999999999705,0.44235,0.44605
Kuwait,1,9.0,9.7257,9.5641,0,0,0,0.0,0.0003,0.0023,0.0,0.0007,0.0029,0.0,0.00029999999999996696,0.0022999999999999687,0.0,0.0007000000000000339,0.0029000000000000137,0.4366624999999999,0.451925
Qatar,1,9.0,11.5011,9.8776,0,0,0,0.0008,0.0103,0.0418,0.0004,0.0022,0.0082,0.0008000000000000229,0.010299999999999976,0.04179999999999995,0.00039999999999995595,0.0021999999999999797,0.008199999999999985,0.31305,0.42205
